"0-1 where 0 is good, 1 is bad",,,,,,,,,,,,,,,,,,,,,,,,
Node,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
1,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
2,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
3,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
4,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
5,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
6,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
7,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
8,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
9,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
10,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
11,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
12,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
13,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
14,0.90,0.90,0.90,0.90,0.90,0.90,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.90,0.90,0.90,0.90,0.90
15,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.20
16,0.90,0.90,0.90,0.90,0.90,0.90,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.90,0.90,0.90,0.90,0.90
17,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00
18,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
19,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
20,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
21,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
22,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
23,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
24,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.20
25,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
26,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
27,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
28,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
29,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
30,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0.10,0.10,0.10,0.10,0.10,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.10,0.10,0.10,0.10
33,0.25,0.25,0.25,0.25,0.25,0.25,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.25,0.25,0.25,0.25,0.25
34,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.20
35,0.35,0.35,0.35,0.35,0.35,0.35,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.35,0.35,0.35,0.35,0.35
36,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
37,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
38,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
39,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
40,0.10,0.10,0.10,0.10,0.10,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.10,0.10,0.10,0.10
41,0.10,0.10,0.10,0.10,0.10,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.10,0.10,0.10,0.10
42,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
43,0.15,0.15,0.15,0.15,0.15,0.15,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.15,0.15,0.15,0.15,0.15
44,0.95,0.95,0.95,0.95,0.95,0.95,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.95,0.95,0.95,0.95,0.95
45,0.75,0.75,0.75,0.75,0.75,0.75,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.75,0.75,0.75,0.75,0.75
46,0.15,0.15,0.15,0.15,0.15,0.15,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.15,0.15,0.15,0.15,0.15
47,0.10,0.10,0.10,0.10,0.10,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.10,0.10,0.10,0.10
48,0.35,0.35,0.35,0.35,0.35,0.35,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.35,0.35,0.35,0.35,0.35
49,0.15,0.15,0.15,0.15,0.15,0.15,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.15,0.15,0.15,0.15,0.15
50,0.10,0.10,0.10,0.10,0.10,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.10,0.10,0.10,0.10
51,0.10,0.10,0.10,0.10,0.10,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.10,0.10,0.10,0.10
52,0.65,0.65,0.65,0.65,0.65,0.65,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.65,0.65,0.65,0.65,0.65
53,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
54,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
55,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.20
56,0.65,0.65,0.65,0.65,0.65,0.65,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.65,0.65,0.65,0.65,0.65
57,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
58,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
59,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
60,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00
61,0.95,0.95,0.95,0.95,0.95,0.95,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.95,0.95,0.95,0.95,0.95
62,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
63,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
64,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
65,0.40,0.40,0.40,0.40,0.40,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.40,0.40,0.40,0.40
66,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
67,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
68,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
69,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
70,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00
71,0.80,0.80,0.80,0.80,0.80,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.80,0.80,0.80,0.80
72,0.90,0.90,0.90,0.90,0.90,0.90,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.90,0.90,0.90,0.90,0.90
73,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00
74,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
75,0.35,0.35,0.35,0.35,0.35,0.35,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.35,0.35,0.35,0.35,0.35
76,0.60,0.60,0.60,0.60,0.60,0.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.60,0.60,0.60,0.60
77,0.25,0.25,0.25,0.25,0.25,0.25,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.25,0.25,0.25,0.25,0.25
78,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
79,0.45,0.45,0.45,0.45,0.45,0.45,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.45,0.45,0.45,0.45,0.45
80,0.70,0.70,0.70,0.70,0.70,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.70,0.70,0.70,0.70,0.70
81,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.50
82,0.55,0.55,0.55,0.55,0.55,0.55,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.55,0.55,0.55,0.55,0.55
83,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.20,0.20,0.20,0.20
84,0.30,0.30,0.30,0.30,0.30,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.30,0.30,0.30,0.30,0.30
85,0.10,0.10,0.10,0.10,0.10,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.10,0.10,0.10,0.10
86,0.25,0.25,0.25,0.25,0.25,0.25,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.25,0.25,0.25,0.25,0.25
87,0.15,0.15,0.15,0.15,0.15,0.15,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.15,0.15,0.15,0.15,0.15
